Time (s),Value
93.83,-3872
94.003,-3541
94.157,-3746
94.309,-3926
94.483,-3763
94.64,-3711
94.794,-3778
94.963,-3665
95.118,-3671
95.272,-3804
95.443,-3685
95.6,-3765
95.756,-3879
95.923,-3818
96.08,-3702
96.236,-3675
96.404,-3840
96.562,-3606
96.72,-3755
96.883,-3842
97.044,-3776
97.203,-3804
97.365,-3905
97.525,-3902
97.747,-3940
97.908,-3789
98.069,-3705
98.324,-4036
98.486,-3962
98.708,-3881
98.871,-3869
99.035,-3832
99.283,-3913
99.448,-4008
99.667,-3969
99.832,-4061
99.997,-4134
100.243,-4222
100.41,-4302
100.627,-4279
100.796,-4176
101.011,-4080
101.18,-4098
101.438,-4221
101.683,-4302
101.854,-4214
102.067,-4328
102.238,-4325
102.451,-4101
102.624,-4254
102.879,-4188
103.123,-4151
103.298,-4047
103.507,-4230
103.684,-4073
103.891,-4075
104.064,-4324
104.319,-4332
104.563,-4339
104.742,-4477
104.946,-4415
105.125,-4318
105.331,-4448
105.507,-4474
105.715,-4617
105.903,-4347
106.14,-4341
106.387,-4409
106.564,-4390
106.77,-4304
106.955,-4330
107.154,-4417
107.341,-4292
107.581,-4632
107.827,-4641
108.017,-4564
108.21,-4556
108.399,-4675
108.594,-4553
108.786,-4733
109.021,-4776
109.267,-4845
109.45,-4856
109.65,-5102
109.833,-4949
110.034,-4914
110.218,-5039
110.462,-5119
110.706,-4618
110.895,-4879
111.09,-4822
111.279,-4781
111.474,-4789
111.664,-4665
111.903,-5003
112.146,-4885
112.34,-4853
112.627,-4971
112.82,-5172
113.107,-4768
113.394,-5268
113.723,-4909
113.97,-4844
114.168,-4996
114.451,-4919
114.65,-4777
114.93,-4862
115.131,-4887
115.41,-4997
115.609,-4947
115.891,-4874
116.089,-4798
116.37,-4995
116.568,-4928
